1000;L'huile d'olive;El aceite de oliva
1001;La blette;La acelga
1002;Le basilic;La albahaca
1003;Le riz;El arroz
1004;Le safran;El azafrán
1005;La morue;El bacalao
1006;La daurade rose;El besugo
1007;Le gâteau;El bizcocho
1008;Le sandwich;El bocadillo
1009;Le bouillon;El caldo
1010;La viande;La carne
1011;L'orge;La cebada
1012;Les langoustines;Las cigalas
1013;le blanc d'oeuf;La clara
1014;Cuisiner;Cocinar
1015;Le convive;El comensal
1016;La nourriture;La comida
1017;L'agneau;El cordero
1018;Le croissant;El cruasán
1019;Décongeler;Descongelar
1020;Refroidir;Enfriar
1021;Rincer;Enjuagar
1022;L'épinard;La espinaca
1023;Le biscuit;La galleta
1024;Les crevettes;Las gambas
1025;Les céréales;Los granos
1026;L'oeuf;El huevo
1027;La gelée de fruits;La jalea
1028;Le haricot; la alubia
1029;La laitue;La lechuga
1030;Les fruits de mer;Los mariscos
1031;L'origan;El orégano
1032;Le pain;El pan
1033;Le pain de mie;El pan de molde
1034;Le pain de campagne;El pan de pueblo
1035;La dinde;El pavo
1036;Peler;Pelar
1037;Le poisson;El pescado
1038;Le piment;El pimentón
1039;La poularde;La pularda
1040;Le radis;El rábano
1041;Le sel;El sal
1042;La pastèque;La sandía
1043;Assaisonner;Sazonar
1044;La soif;La sed
1045;La soupe à l'ail;La sopa de ajo
1046;L'omelette aux pommes de terre;La tortilla de patatas
1047;Le blé;El trigo
1048;Le légume;La verdura
1049;Le jaune d'oeuf;La yema
