100;La hanche;La cadera
101;La barbe;La barba
102;La bouche;La boca
103;La cheville;El tobillo
104;La colonne vertébrale;La columna vertebral
105;La cuisse;El muslo
106;La jambe;La pierna
107;La langue;La lengua
108;La main;La mano
109;La moustache;El bigote
110;La peau;La piel
111;La poitrine;El pecho
112;La taille;La estatura
113;La tête;La cabeza
114;Le bras;El brazo
115;Le cerveau;El cerebro
116;Le coeur;El corazón
117;Le corps;El cuerpo
118;Le cou;El cuello
119;Le coude;El codo
120;Le dos;La espalda
121;Le foie;El hígado
122;Le front;La frente
123;Le genou;La rodilla
124;Le menton;El mentón
125;Le nez;La nariz
126;Le pied;El pie
127;Le poignet;El puño
128;Le rein;El riñon
129;Le tibia;La tibia
130;Les cheveux;Los cabellos
131;Les dents;Los dientes
132;Les doigts;Los dedos
133;Les joues;Las mejillas
134;Les lèvres;Los labios
135;Les oreilles;Las orejas
136;Les orteils;Los dedos del pie
137;Les poils;Los pelos
138;Les poumons;Los pulmones
139;Les yeux;Los ojos
140;L'avant bras;El antebrazo
141;L'estomac;El estómago
142;Un os;Un hueso
143;Une barbe;Una barba
144;Une cicatrice;Una cicatriz
145;Une dent;Un diente
146;Une dent de lait;Un diente de leche
147;Une ride;Una arruga
148;La vertèbres;La vértebra
149;La paupière ;La pestaña 
