2000;La racine;La raíz
2001;La graine;La semilla
2002;L'arrosoir;La regadera
2003;Le bourgeon;El brote
2004;La floraison;La floración
2005;Le tronc;El tronco
2006;L'écorce;La corteza
2007;La branche;La rama
2008;L'oranger;El naranjo
2009;Le citronnier;El limonero
2010;Le pommier;El manzano
2011;Le poirier;El peral
2012;Le prunier;El ciruelo
2013;Le cerisier;El cerezo
2014;Le pin;El pino
2015;Le palmier;La palmera
2016;Le châtaigner;El castaño
2017;L'olivier;El olivo
2018;Le sapin;El abeto
2019;Le chêne;El roble
2020;Le hêtre;El haya
2021;Le bois de hêtres;El hayedo
2022;Le bouleau;El abedul
2023;L'ébène;El ébano
2024;Le peuplier;El álamo
2025;L'allée de peupliers;La alameda
2026;Le saule;El sauce
2027;Le saule pleureur;El sauce llorón
2028;Le bouquet;El ramo
2029;Le pétale;El pétalo
2030;Le pollen;El polen
2031;La tige;El tallo
2032;L'épine;La espina
2033;Le coquelicot;La amapola
2034;Le lys;el lirio blanco
2035;L'iris;El lirio
2036;Le muguet;El lirio de los valles
2037;La tulipe;El tulipán
2038;Le jasmin;El jazmín
2039;La fleur d'oranger;El azahar
2040;La lavande;La lavanda
2041;Le lilas;La lila
2042;Le nénuphar;El nenúfar
2043;L'orchidée;La orquídea
2044;Le tournesol;El girasol
2045;Le géranium;El geranio
2046;Le trèfle;El trébol
2047;La lierre;La hiedra
2048;La fougère;El helecho
2049;Le cactus;El cáctus
