2700;Chanter;Cantar
2701;Manger;Comer
2702;Vivre;Vivir
2703;Donner;Dar
2704;Tomber;Caer
2705;Faire;Hacer
2706;Mettre;Poner
2707;Savoir;Saber
2708;Sortir;Salir
2709;Apporter;Traer
2710;Valoir;Valer
2711;Voir;Ver
2712;Aller;Ir
2713;Dire;Decir
2714;Avoir;Haber
2715;Entendre;Oír
2716;Venir;Venir
2717;Connaître;Conocer
2718;Pouvoir;Poder
2719;Vouloir;Querer
2720;Parler;Hablar
2721;Prendre;Tomar
2722;Avoir besoin de;Necesitar
2723;Ouvrir;Abrir
2724;Fermer;Cerrar
2725;Louer;Alquilar
2726;Aider;Ayudar
2727;Boire;Beber
2728;Chercher;Buscar
2729;Marcher;Caminar
2730;Cuisiner;Cocinar
2731;Acheter;Comprar
2732;Courir;Correr
2733;Croire;Creer
2734;S'amuser;Entretenerse
2735;Dormir;Dormir
2736;Commencer;Empezar
2737;Écrire;Escribir
2738;Écouter;Escuchar
2739;Fonctionner;Funcionar
2740;Laver;Limpiar
2741;Pleurer;Llorar
2742;Arriver;Llegar
2743;Regarder;Mirar
2744;Oublier;Olvidar
2745;Brûler;Quemar
2746;Voler;Robar
2747;Voyager;Viajar
2748;Se plaindre;Quejarse
2749;Grandir;Crecer
